title,year,director_id,rate,user_id,description
Pulp Fiction,1994,1,8.9,1,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Django Unchained,2012,1,8.4,1,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Inglourious Basterds,2009,1,8.3,1,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same"
Kill Bill: Vol. 1,2003,1,8.2,1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Kill Bill: Vol. 2,2004,1,8.2,1,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd,and the treacherous,one-eyed Elle."
The Hateful Eight,2015,1,8,1,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
Jackie Brown,1997,1,7.5,1,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed."
Once Upon a Time in... Hollywood,2019 ,1,7.6,1,"A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles."
Parasite,2019,2,8.5,2,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
Memories of Murder,2003,2,8.1,2,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Okja,2017,2,7.3,2,"A young girl risks everything to prevent a powerful,multinational company from kidnapping her best friend - a fascinating beast named Okja."
Snowpiercer,2013,2,7.1,2,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe),a new class system emerges."
Birdman or (The Unexpected Virtue of Ignorance),2014,3,7.7,2,"A washed-up superhero actor attempts to revive his fading career by writing, directing,and starring in a Broadway production."
"Bardo, False Chronicle of a Handful of Truths",2022,3,6.7,2,"An acclaimed journalist-turned-documentarian goes on an oneiric introspective journey to reconcile with the past, the present and his Mexican identity."
The Revenant,2015,3,8,2,"A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
Biutiful,2010,3,7.4,2,"A man dying of cancer tries his best to leave the world on his own terms."
Babel,2006,3,7.5,2,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
Eyes Wide Shut,1999,4,7.5,1,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing."
Full Metal Jacket,1987,4,8.3,1,"A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue."
The Shining,1980,4,8.4,1,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence,while his psychic son sees horrific forebodings from both past and future."
Barry Lyndon,1975,4,8.1,1,"An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England."
A Clockwork Orange,1971,4,8.3,1,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment,but it doesn't go as planned."
A Space Odyssey,1968,4,8.3,1,"After uncovering a mysterious artifact buried beneath the Lunar surface,a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4,8.4,1,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Lolita,1962,4,7.5,1,"A middle-aged college professor becomes infatuated with a fourteen-year-old girl."
Paths of Glory,1957,4,8.4,1,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
Spartacus,1960,4,7.9,1,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
Fargo,1996,5,8.1,2,"Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson."
No Country for Old Men, 2007,5,8.2,1,"Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande."
The Big Lebowski,1998,5,8.1,1,"Ultimate L.A. slacker Jeff The Dude Lebowski, mistaken for a millionaire of the same name,seeks restitution for a rug ruined by debt collectors,enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
Miller's Crossing,1990,5,7.7,1,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
The Man Who Wasn't There,2001,5,7.5,1,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning,but his plan goes terribly wrong."
